00, 24, 2
01, 24, 4
02, 24, 6
03, 24, 7.5
04, 23, 9.5
05, 23, 11.5
06, 22.5, 12.5
07, 22, 14
08, 20, 15
09, 19, 14
10, 19, 12
11, 19, 11
12, 19.5, 8.5
13, 19.5, 7.5
14, 19.5, 6
15, 20, 5
16, 19, 5
17, 18.5, 5.5
18, 17.5, 5
19, 17, 6
20, 16.5, 7
21, 16.5, 7.5
22, 16, 9
23, 16, 10
24, 16, 11.5
25, 16, 12.5
26, 16, 14
27, 16, 13
28, 16, 14
29, 15.5, 15.5
30, 15.5, 16.5
31, 14.5, 15.5
32, 13.5, 15.5
33, 12, 15
34, 13, 14
35, 13, 13
36, 13, 12
37, 13, 11
38, 13, 10
39, 13, 9
40, 13, 8
41, 13, 7.5
42, 12, 7.5
43, 11, 7
44, 10, 8
45, 10, 9
46, 10, 10.5
47, 10, 11.5
48, 10, 12.5
49, 10, 14
50, 10, 15
51, 9, 15
52, 8, 15
53, 7, 14
54, 7, 12
55, 7, 10
56, 7.5, 7.5
57, 8, 7.5
58, 7.5, 6
59, 7.5, 4 
60, 8.5, 3
61, 7, 4
62, 6, 5
63, 5.5, 6.5
64, 5.5, 8.5
65, 6, 9
66, 5.5, 9.5
67, 5.5, 11.5
68, 5.5, 14
69, 5, 13.5
70, 3.5, 10.5
71, 3.5, 8.5
72, 3.5, 6.5
73, 3.5, 5.5
74, 3.5, 3.5
75, 4, 4
76, 3, 4
77, 2, 6
78, 2, 8
79, 2, 9
80, 2, 11
